,CountryCode,RegionName,RegionCode,Date,H6_Facial Coverings,ConfirmedCases
331,USA,Alaska,AK,2020-01-01,0.0,
9599,USA,North Dakota,ND,2020-01-01,0.0,
5627,USA,Kansas,KS,2020-01-01,0.0,
16550,USA,Wisconsin,WI,2020-01-01,0.0,
662,USA,Alabama,AL,2020-01-01,0.0,
11585,USA,New York,NY,2020-01-01,0.0,
9930,USA,Nebraska,NE,2020-01-01,0.0,
12247,USA,Oklahoma,OK,2020-01-01,0.0,
4965,USA,Illinois,IL,2020-01-01,0.0,
17212,USA,Wyoming,WY,2020-01-01,0.0,
2317,USA,Connecticut,CT,2020-01-01,0.0,
4634,USA,Idaho,ID,2020-01-01,0.0,
13902,USA,South Dakota,SD,2020-01-01,0.0,
10261,USA,New Hampshire,NH,2020-01-01,0.0,
14895,USA,Utah,UT,2020-01-01,0.0,
14564,USA,Texas,TX,2020-01-01,0.0,
10592,USA,New Jersey,NJ,2020-01-01,0.0,
4303,USA,Iowa,IA,2020-01-01,0.0,
2648,USA,Washington DC,DC,2020-01-01,0.0,
11254,USA,Nevada,NV,2020-01-01,0.0,
14233,USA,Tennessee,TN,2020-01-01,0.0,
2979,USA,Delaware,DE,2020-01-01,0.0,
3310,USA,Florida,FL,2020-01-01,0.0,
3641,USA,Georgia,GA,2020-01-01,0.0,
12909,USA,Pennsylvania,PA,2020-01-01,0.0,
10923,USA,New Mexico,NM,2020-01-01,0.0,
11916,USA,Ohio,OH,2020-01-01,0.0,
12578,USA,Oregon,OR,2020-01-01,0.0,
15557,USA,Virgin Islands,VI,2020-01-01,0.0,
16881,USA,West Virginia,WV,2020-01-01,0.0,
3972,USA,Hawaii,HI,2020-01-01,0.0,
1324,USA,Arizona,AZ,2020-01-01,0.0,
15226,USA,Virginia,VA,2020-01-01,0.0,
5958,USA,Kentucky,KY,2020-01-01,0.0,
5296,USA,Indiana,IN,2020-01-01,0.0,
6620,USA,Massachusetts,MA,2020-01-01,0.0,
993,USA,Arkansas,AR,2020-01-01,0.0,
7282,USA,Maine,ME,2020-01-01,0.0,
8937,USA,Montana,MT,2020-01-01,0.0,
16219,USA,Washington,WA,2020-01-01,0.0,
1655,USA,California,CA,2020-01-01,0.0,
1986,USA,Colorado,CO,2020-01-01,0.0,
6951,USA,Maryland,MD,2020-01-01,0.0,
8275,USA,Missouri,MO,2020-01-01,0.0,
7613,USA,Michigan,MI,2020-01-01,0.0,
15888,USA,Vermont,VT,2020-01-01,0.0,
8606,USA,Mississippi,MS,2020-01-01,0.0,
6289,USA,Louisiana,LA,2020-01-01,0.0,
13571,USA,South Carolina,SC,2020-01-01,0.0,
7944,USA,Minnesota,MN,2020-01-01,0.0,
9268,USA,North Carolina,NC,2020-01-01,0.0,
13240,USA,Rhode Island,RI,2020-01-01,0.0,
7614,USA,Michigan,MI,2020-01-02,0.0,
16882,USA,West Virginia,WV,2020-01-02,0.0,
15558,USA,Virgin Islands,VI,2020-01-02,0.0,
13241,USA,Rhode Island,RI,2020-01-02,0.0,
3642,USA,Georgia,GA,2020-01-02,0.0,
12579,USA,Oregon,OR,2020-01-02,0.0,
7283,USA,Maine,ME,2020-01-02,0.0,
8276,USA,Missouri,MO,2020-01-02,0.0,
2980,USA,Delaware,DE,2020-01-02,0.0,
14234,USA,Tennessee,TN,2020-01-02,0.0,
15227,USA,Virginia,VA,2020-01-02,0.0,
7945,USA,Minnesota,MN,2020-01-02,0.0,
16220,USA,Washington,WA,2020-01-02,0.0,
10924,USA,New Mexico,NM,2020-01-02,0.0,
3311,USA,Florida,FL,2020-01-02,0.0,
11255,USA,Nevada,NV,2020-01-02,0.0,
12910,USA,Pennsylvania,PA,2020-01-02,0.0,
4304,USA,Iowa,IA,2020-01-02,0.0,
1325,USA,Arizona,AZ,2020-01-02,0.0,
13572,USA,South Carolina,SC,2020-01-02,0.0,
9600,USA,North Dakota,ND,2020-01-02,0.0,
5628,USA,Kansas,KS,2020-01-02,0.0,
9269,USA,North Carolina,NC,2020-01-02,0.0,
16551,USA,Wisconsin,WI,2020-01-02,0.0,
663,USA,Alabama,AL,2020-01-02,0.0,
5297,USA,Indiana,IN,2020-01-02,0.0,
15889,USA,Vermont,VT,2020-01-02,0.0,
9931,USA,Nebraska,NE,2020-01-02,0.0,
3973,USA,Hawaii,HI,2020-01-02,0.0,
4966,USA,Illinois,IL,2020-01-02,0.0,
6621,USA,Massachusetts,MA,2020-01-02,0.0,
4635,USA,Idaho,ID,2020-01-02,0.0,
8938,USA,Montana,MT,2020-01-02,0.0,
10262,USA,New Hampshire,NH,2020-01-02,0.0,
6952,USA,Maryland,MD,2020-01-02,0.0,
994,USA,Arkansas,AR,2020-01-02,0.0,
10593,USA,New Jersey,NJ,2020-01-02,0.0,
5959,USA,Kentucky,KY,2020-01-02,0.0,
8607,USA,Mississippi,MS,2020-01-02,0.0,
6290,USA,Louisiana,LA,2020-01-02,0.0,
11586,USA,New York,NY,2020-01-02,0.0,
13903,USA,South Dakota,SD,2020-01-02,0.0,
11917,USA,Ohio,OH,2020-01-02,0.0,
332,USA,Alaska,AK,2020-01-02,0.0,
14565,USA,Texas,TX,2020-01-02,0.0,
14896,USA,Utah,UT,2020-01-02,0.0,
2318,USA,Connecticut,CT,2020-01-02,0.0,
1987,USA,Colorado,CO,2020-01-02,0.0,
2649,USA,Washington DC,DC,2020-01-02,0.0,
12248,USA,Oklahoma,OK,2020-01-02,0.0,
1656,USA,California,CA,2020-01-02,0.0,
17213,USA,Wyoming,WY,2020-01-02,0.0,
1657,USA,California,CA,2020-01-03,0.0,
5629,USA,Kansas,KS,2020-01-03,0.0,
6953,USA,Maryland,MD,2020-01-03,0.0,
16883,USA,West Virginia,WV,2020-01-03,0.0,
3974,USA,Hawaii,HI,2020-01-03,0.0,
995,USA,Arkansas,AR,2020-01-03,0.0,
9601,USA,North Dakota,ND,2020-01-03,0.0,
2981,USA,Delaware,DE,2020-01-03,0.0,
17214,USA,Wyoming,WY,2020-01-03,0.0,
16552,USA,Wisconsin,WI,2020-01-03,0.0,
